id,label,lat,lng
AFG,Afghanistan,34.52813,69.17233
ALB,Albania,41.3275,19.81889
DZA,Algeria,36.7525,3.04197
ASM,American Samoa,-14.26666667,-170.7
AND,Andorra,42.50779,1.52109
AGO,Angola,-8.83682,13.23432
AIA,Anguilla,18.21704,-63.05783
ATG,Antigua and Barbuda,17.11717,-61.84573
ARG,Argentina,-34.61315,-58.37723
ARM,Armenia,40.18111,44.51361
ABW,Aruba,12.52398,-70.02703
AUS,Australia,-35.28346,149.12807
AUT,Austria,48.20849,16.37208
AZE,Azerbaijan,40.37767,49.89201
BHS,Bahamas,25.05823,-77.34306
BHR,Bahrain,26.21536,50.5832
BGD,Bangladesh,23.7104,90.40744
BRB,Barbados,13.1,-59.61667
BLR,Belarus,53.9,27.56667
BEL,Belgium,50.85045,4.34878
BLZ,Belize,17.25,-88.76667
BEN,Benin,6.49646,2.60359
BMU,Bermuda,32.2949,-64.78303
BTN,Bhutan,27.46609,89.64191
BOL,Bolivia (Plurinational State of),-19.03332,-65.26274
BIH,Bosnia and Herzegovina,43.84864,18.35644
BWA,Botswana,-24.65451,25.90859
BRA,Brazil,-15.77972,-47.92972
IOT,British Indian Ocean Territory,18.42693,-64.62079
VGB,British Virgin Islands,18.43882,-64.60382
BRN,Brunei Darussalam,4.94029,114.94806
BGR,Bulgaria,42.69751,23.32415
BFA,Burkina Faso,12.36566,-1.53388
BDI,Burundi,-3.3822,29.3644
KHM,Cambodia,11.56245,104.91601
CMR,Cameroon,3.86667,11.51667
CAN,Canada,45.41117,-75.69812
CPV,Cape Verde,14.93152,-23.51254
CYM,Cayman Islands,19.2866,-81.37436
CAF,Central African Republic,4.366666667,18.583333
TCD,Chad,12.10672,15.0444
CHL,Chile,-33.45694,-70.64827
CHN,China,39.9075,116.39723
HKG,Hong Kong (China),22.28552,114.15769
MAC,Macao (China),22.20056,113.54611
COL,Colombia,4.60971,-74.08175
COM,Comoros,-11.70216,43.25506
COG,Congo,-4.26613,15.28318
COK,Cook Islands,-21.20778,-159.775
CRI,Costa Rica,9.93333,-84.08333
CIV,Cote d'Ivoire,6.82055,-5.27674
HRV,Croatia,45.81444,15.97798
CYP,Cyprus,35.17531,33.3642
CZE,Czech Republic,50.08804,14.42076
PRK,Korea {Democratic People's Republic - North),39.03385,125.75432
COD,Congo (Democratic Republic),-4.32758,15.31357
DNK,Denmark,55.67594,12.56553
DJI,Djibouti,11.58333333,43.15
DMA,Dominica,15.3,-61.4
DOM,Dominican Republic,18.50012,-69.98857
ECU,Ecuador,-0.22985,-78.52495
EGY,Egypt,30.06263,31.24967
SLV,El Salvador,13.68935,-89.18718
GNQ,Equatorial Guinea,3.75,8.78333
ERI,Eritrea,15.33805,38.93184
EST,Estonia,59.43696,24.75353
ETH,Ethiopia,9.02497,38.74689
FRO,Faeroe Islands,62.00973,-6.77164
FJI,Fiji,-18.14161,178.44149
FIN,Finland,60.16952,24.93545
FRA,France,48.85341,2.3488
PYF,French Polynesia,-17.53333333,-149.566667
GAB,Gabon,0.39241,9.45356
GMB,Gambia,13.45488,-16.57903
GEO,Georgia,41.69411,44.83368
DEU,Germany,52.52437,13.41053
GHA,Ghana,5.55602,-0.1969
GIB,Gibraltar,36.14474,-5.35257
GRC,Greece,37.97945,23.71622
GRD,Grenada,12.05,-61.75
GUM,Guam,13.47567,144.74886
GTM,Guatemala,14.64072,-90.51327
GIN,Guinea,9.53795,-13.67729
GNB,Guinea-Bissau,11.85,-15.583333
GUY,Guyana,6.80448,-58.15527
HTI,Haiti,18.53917,-72.335
HND,Honduras,14.0818,-87.20681
HUN,Hungary,47.49801,19.03991
ISL,Iceland,64.13548,-21.89541
IND,India,28.63576,77.22445
IDN,Indonesia,-6.21462,106.84513
IRN,Iran (Islamic Republic of),35.69439,51.42151
IRQ,Iraq,33.34058,44.40088
IRL,Ireland,53.33306,-6.24889
IMN,Isle of Man,54.15,-4.48333
ISR,Israel,31.76904,35.21633
ITA,Italy,41.89193,12.51133
JAM,Jamaica,17.99702,-76.79358
JPN,Japan,35.6895,139.69171
JOR,Jordan,31.95522,35.94503
KAZ,Kazakhstan,51.1801,71.44598
KEN,Kenya,-1.28333,36.81667
KWT,Kuwait,29.36972,47.97833
KGZ,Kyrgyzstan,42.87,74.59
LAO,Lao (People's Democratic Republic),17.96667,102.6
LVA,Latvia,56.946,24.10589
LBN,Lebanon,33.88894,35.49442
LSO,Lesotho,-29.31666667,27.483333
LBR,Liberia,6.30054,-10.7969
LBY,Libya,32.87519,13.18746
LIE,Liechtenstein,47.14151,9.52154
LTU,Lithuania,54.68916,25.2798
LUX,Luxembourg,49.61167,6.13
MDG,Madagascar,-18.91368,47.53613
MWI,Malawi,-13.96692,33.78725
MYS,Malaysia,3.1412,101.68653
MDV,Maldives,4.166666667,73.5
MLI,Mali,12.65,-8
MLT,Malta,35.89972,14.51472
MHL,Marshall Islands,7.08971,171.38027
MRT,Mauritania,18.08581,-15.9785
MUS,Mauritius,-20.16194,57.49889
MEX,Mexico,19.42847,-99.12766
FSM,Micronesia (Federated States of),6.92477,158.16109
MCO,Monaco,43.73333,7.41667
MNG,Mongolia,47.90771,106.88324
MNE,Montenegro,42.44111,19.26361
MAR,Morocco,34.01325,-6.83255
MOZ,Mozambique,-25.96553,32.58322
MMR,Myanmar,19.745,96.12972
NAM,Namibia,-22.55941,17.08323
NRU,Nauru,-0.5477,166.920867
NPL,Nepal,27.70169,85.3206
NLD,Netherlands,52.37403,4.88969
ANT,Netherlands Antilles,12.133649,-68.930873
NCL,New Caledonia,-22.27631,166.4572
NZL,New Zealand,-41.28664,174.77557
NIC,Nicaragua,12.13282,-86.2504
NER,Niger,13.51366,2.1098
NGA,Nigeria,9.05785,7.49508
NIU,Niue,-19.01666667,-169.916667
NFK,Norfolk Island,-29.05,167.966667
MNP,Northern Mariana Islands,15.21233,145.7545
NOR,Norway,59.91273,10.74609
OMN,Oman,23.61387,58.5922
PAK,Pakistan,33.72148,73.04329
PLW,Palau,7.33978,134.47326
PAN,Panama,8.9936,-79.51973
PNG,Papua New Guinea,-9.44314,147.17972
PRY,Paraguay,-25.30066,-57.63591
PER,Peru,-12.04318,-77.02824
PHL,Philippines,14.6042,120.9822
POL,Poland,52.22977,21.01178
PRT,Portugal,38.71667,-9.13333
PRI,Puerto Rico,18.46633,-66.10572
QAT,Qatar,25.27932,51.52245
KOR,Korea (Republic of - South),37.566,126.9784
MDA,Moldova (Republic of),47.00556,28.8575
REU,Reunion,-20.88231,55.4504
ROU,Romania,44.43225,26.10626
RUS,Russian Federation,55.75222,37.61556
RWA,Rwanda,-1.94995,30.05885
SHN,Saint Helena,-15.93333333,-5.716667
KNA,Saint Kitts and Nevis,17.29484,-62.7261
LCA,Saint Lucia,14,-61
VCT,Saint Vincent and the Grenadines,13.15872,-61.22475
WSM,Samoa,-13.83333,-171.76666
STP,Sao Tome and Principe,0.333333333,6.733333
SAU,Saudi Arabia,24.68773,46.72185
SEN,Senegal,14.6937,-17.44406
SRB,Serbia,44.80401,20.46513
